/ext3/miniconda3/lib/python3.9/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 6 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
Epoch 1, batch 437, loss=0.9895155429840088
Epoch 1, batch 438, loss=0.975765585899353
Epoch 1, batch 439, loss=0.9856350421905518
Epoch 1, batch 440, loss=1.0416826009750366
Epoch 1, batch 441, loss=1.0293629169464111
Epoch 1, batch 442, loss=1.0644248723983765
Epoch 1, batch 443, loss=1.0112730264663696
Epoch 1, batch 444, loss=0.9430782198905945
Epoch 1, batch 445, loss=0.9326083064079285
Epoch 1, batch 446, loss=1.0716885328292847
Epoch 1, batch 447, loss=1.0185542106628418
Epoch 1, batch 448, loss=0.9791569709777832
Epoch 1, batch 449, loss=0.9906484484672546
Epoch 1, batch 450, loss=0.979449450969696
Epoch 1, batch 451, loss=0.9506160020828247
Epoch 1, batch 452, loss=1.043976068496704
Epoch 1, batch 453, loss=0.9819133281707764
Epoch 1, batch 454, loss=1.0319926738739014
Epoch 1, batch 455, loss=0.9582091569900513
Epoch 1, batch 456, loss=1.0582444667816162
Epoch 1, batch 457, loss=0.9506086707115173
Epoch 1, batch 458, loss=1.0345585346221924
Epoch 1, batch 459, loss=1.035921335220337
Epoch 1, batch 460, loss=1.0015487670898438
Epoch 1, batch 461, loss=1.0232129096984863
Epoch 1, batch 462, loss=0.9922115206718445
Epoch 1, batch 463, loss=1.012049674987793
Epoch 1, batch 464, loss=0.9671262502670288
Epoch 1, batch 465, loss=0.9426435232162476
Epoch 1, batch 466, loss=0.9479668140411377
Epoch 1, batch 467, loss=1.2116745710372925
Epoch 1, batch 468, loss=1.1528011560440063
Epoch 1, batch 469, loss=0.9611337184906006
Epoch 1, batch 470, loss=1.0614932775497437
Epoch 1, batch 471, loss=0.9878324866294861
Epoch 1, batch 472, loss=0.9699221849441528
Epoch 1, batch 473, loss=1.0070676803588867
Epoch 1, batch 474, loss=1.1147935390472412
Epoch 1, batch 475, loss=1.1636338233947754
Epoch 1, batch 476, loss=1.0224852561950684
Epoch 1, batch 477, loss=0.9866913557052612
Epoch 1, batch 478, loss=0.9297387003898621
Average epoch loss=0.858141150476211
Epoch 2, batch 0, loss=0.9744086265563965
Epoch 2, batch 1, loss=0.994495153427124
Epoch 2, batch 2, loss=1.1444659233093262
Epoch 2, batch 3, loss=1.0958478450775146
Epoch 2, batch 4, loss=1.1051852703094482
Epoch 2, batch 5, loss=1.2024174928665161
Epoch 2, batch 6, loss=0.9723925590515137
Epoch 2, batch 7, loss=1.0388975143432617
Epoch 2, batch 8, loss=1.00197172164917
Epoch 2, batch 9, loss=0.9665164947509766
Epoch 2, batch 10, loss=1.1003040075302124
Epoch 2, batch 11, loss=1.0669686794281006
Epoch 2, batch 12, loss=1.1043967008590698
Epoch 2, batch 13, loss=1.0654704570770264
Epoch 2, batch 14, loss=1.0444140434265137
Epoch 2, batch 15, loss=0.9678730964660645
Epoch 2, batch 16, loss=0.9787620306015015
Epoch 2, batch 17, loss=0.950701892375946
Epoch 2, batch 18, loss=1.0971875190734863
Epoch 2, batch 19, loss=0.9510666131973267
Epoch 2, batch 20, loss=0.9732261896133423
Epoch 2, batch 21, loss=0.9204527139663696
Epoch 2, batch 22, loss=1.0479522943496704
Epoch 2, batch 23, loss=0.9649194478988647
Epoch 2, batch 24, loss=0.947804868221283
Epoch 2, batch 25, loss=1.0090844631195068
Epoch 2, batch 26, loss=1.0548123121261597
Epoch 2, batch 27, loss=1.0665719509124756
Epoch 2, batch 28, loss=1.0088210105895996
Epoch 2, batch 29, loss=1.040096640586853
Epoch 2, batch 30, loss=0.9901236295700073
Epoch 2, batch 31, loss=1.0327732563018799
Epoch 2, batch 32, loss=0.9762803316116333
Epoch 2, batch 33, loss=0.9723111391067505
Epoch 2, batch 34, loss=1.0344820022583008
Epoch 2, batch 35, loss=0.9845473170280457
Epoch 2, batch 36, loss=1.036123514175415
Epoch 2, batch 37, loss=0.9769995212554932
Epoch 2, batch 38, loss=1.025869607925415
Epoch 2, batch 39, loss=1.0448570251464844
Epoch 2, batch 40, loss=0.9595235586166382
Epoch 2, batch 41, loss=0.9432511329650879
Epoch 2, batch 42, loss=0.9563202857971191
Epoch 2, batch 43, loss=1.0093345642089844
Epoch 2, batch 44, loss=0.9806822538375854
Epoch 2, batch 45, loss=0.9540767073631287
Epoch 2, batch 46, loss=1.0428212881088257
